Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
13,"P Orvalho, M Janota, V Manquinho","C-pack of ipas: A C90 program benchmark of introductory programming assignments",2024,"… on Automated Program Repair","dl.acm.org","https://dl.acm.org/doi/abs/10.1145/3643788.3648010","https://scholar.google.com/scholar?cites=6550003133810215481&as_sdt=2005&sciodt=2007&hl=en",90,"2025-03-14 11:09:45","","10.1145/3643788.3648010","","",,,,,13,13.00,4,3,1,"… in automated program repair techniques tailored for introductory programming assignments (IPAs)… These techniques leverage correct student implementations to provide automated, …","https://dl.acm.org/doi/pdf/10.1145/3643788.3648010","https://scholar.google.com/scholar?q=related:OQp0lCVJ5loJ:scholar.google.com/&scioq=automated+program+repair+proof&hl=en&as_sdt=2007&as_ylo=2022&as_yhi=2024"
37,"UZ Ahmed, Z Fan, J Yi, OI Al-Bataineh, ...","Verifix: Verified repair of programming assignments",2022,"ACM Transactions on …","dl.acm.org","https://dl.acm.org/doi/abs/10.1145/3510418","https://scholar.google.com/scholar?cites=14518368609771878116&as_sdt=2005&sciodt=2007&hl=en",22,"2025-03-14 11:09:45","","10.1145/3510418","","",,,,,37,12.33,7,5,3,"… hindrance in deployment of automated program repair [29]. We show that verified repair is feasible and … Although automatically proving the equivalence between two programs remains …","https://arxiv.org/pdf/2106.16199","https://scholar.google.com/scholar?q=related:5HaiN1Sbe8kJ:scholar.google.com/&scioq=automated+program+repair+proof&hl=en&as_sdt=2007&as_ylo=2022&as_yhi=2024"
36,"E First, Y Brun","Diversity-driven automated formal verification",2022,"Proceedings of the 44th International Conference on …","dl.acm.org","https://dl.acm.org/doi/abs/10.1145/3510003.3510138","https://scholar.google.com/scholar?cites=8484489642169230324&as_sdt=2005&sciodt=2007&hl=en",71,"2025-03-14 11:09:45","","10.1145/3510003.3510138","","",,,,,36,12.00,18,2,3,"… use of diversity to increase the proving power of automated formal verification tools. Section 5 … Diva does not require a failing proof script, but our ideas could potentially be used to repair …","https://dl.acm.org/doi/pdf/10.1145/3510003.3510138","https://scholar.google.com/scholar?q=related:9GP6dWD2vnUJ:scholar.google.com/&scioq=automated+program+repair+proof&hl=en&as_sdt=2007&as_ylo=2022&as_yhi=2024"
23,"X Meng, X Wang, H Zhang, H Sun, ...","Template-based neural program repair",2023,"2023 IEEE/ACM 45th …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/10172686/","https://scholar.google.com/scholar?cites=5872115303888667817&as_sdt=2005&sciodt=2007&hl=en",47,"2025-03-14 11:09:45","","","","",,,,,23,11.50,5,5,2,"… Abstract—In recent years, template-based and NMT-based automated program repair … However, the experimental results of TENURE prove that using patch IRs for model training …","","https://scholar.google.com/scholar?q=related:qURr0MHxfVEJ:scholar.google.com/&scioq=automated+program+repair+proof&hl=en&as_sdt=2007&as_ylo=2022&as_yhi=2024"
11,"YA Xiao, C Yang, B Wang, ...","Accelerating patch validation for program repair with interception-based execution scheduling",2024,"IEEE Transactions on …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/10417068/","https://scholar.google.com/scholar?cites=17893897586232936540&as_sdt=2005&sciodt=2007&hl=en",50,"2025-03-14 11:09:45","","","","",,,,,11,11.00,3,4,1,"… Abstract—Long patch validation time is a limiting factor for automated program repair (APR). … Proof Sketch. The final capture and replay components consist of statements that deal with …","https://arxiv.org/pdf/2305.03955","https://scholar.google.com/scholar?q=related:XEiiegzlU_gJ:scholar.google.com/&scioq=automated+program+repair+proof&hl=en&as_sdt=2007&as_ylo=2022&as_yhi=2024"
22,"F Ribeiro, JNC de Macedo, K Tsushima, ...","GPT-3-powered type error debugging: Investigating the use of large language models for code repair",2023,"Proceedings of the 16th …","dl.acm.org","https://dl.acm.org/doi/abs/10.1145/3623476.3623522","https://scholar.google.com/scholar?cites=5018592481524621030&as_sdt=2005&sciodt=2007&hl=en",54,"2025-03-14 11:09:45","","10.1145/3623476.3623522","","",,,,,22,11.00,6,4,2,"… ers from previous approaches, which aim to improve the quality of type error messages [12… results9; Fourth, our fully automated validation approach enabled us to validate other works …","https://repositorium.sdum.uminho.pt/bitstream/1822/89919/1/3623476.3623522.pdf","https://scholar.google.com/scholar?q=related:5p64tUWfpUUJ:scholar.google.com/&scioq=automated+program+repair+proof&hl=en&as_sdt=2007&as_ylo=2022&as_yhi=2024"
33,"X Li, S Liu, R Feng, G Meng, X Xie, K Chen, ...","Transrepair: Context-aware program repair for compilation errors",2022,"… conference on automated …","dl.acm.org","https://dl.acm.org/doi/abs/10.1145/3551349.3560422","https://scholar.google.com/scholar?cites=8373551714882573767&as_sdt=2005&sciodt=2007&hl=en",69,"2025-03-14 11:09:45","","10.1145/3551349.3560422","","",,,,,33,11.00,5,7,3,"… In summary: The diagnostic feedback plays a critical role in improving the repair accuracy, however the contextual information and the pointer mechanism is also beneficial for the …","https://dl.acm.org/doi/pdf/10.1145/3551349.3560422","https://scholar.google.com/scholar?q=related:x1XwcevUNHQJ:scholar.google.com/&scioq=automated+program+repair+proof&hl=en&as_sdt=2007&as_ylo=2022&as_yhi=2024"
11,"S Chakraborty, G Ebner, S Bhat, S Fakhoury, ...","Towards neural synthesis for SMT-assisted proof-oriented programming",2024,"arXiv preprint arXiv …","arxiv.org","https://arxiv.org/abs/2405.01787","https://scholar.google.com/scholar?cites=3050227926044042967&as_sdt=2005&sciodt=2007&hl=en",70,"2025-03-14 11:09:45","","","","",,,,,11,11.00,2,5,1,"… to automate the construction of proof-oriented programs, we curate a dataset of 600K lines of open-source F* programs and proofs… -tuned repair model to complete full proofs for Isabelle/…","https://arxiv.org/pdf/2405.01787","https://scholar.google.com/scholar?q=related:1-bUTyOWVCoJ:scholar.google.com/&scioq=automated+program+repair+proof&hl=en&as_sdt=2007&as_ylo=2022&as_yhi=2024"
32,"Z Fan, X Gao, A Roychoudhury, ...","Improving automatically generated code from Codex via Automated Program Repair",2022,"arXiv preprint arXiv …","academia.edu","https://www.academia.edu/download/95266721/2205.10583.pdf","https://scholar.google.com/scholar?cites=4217575963372668411&as_sdt=2005&sciodt=2007&hl=en",8,"2025-03-14 11:09:45","PDF","","","",,,,,32,10.67,8,4,3,"… programs (or even programs which do not compile). In this paper, we systematically study whether automated program repair (… Improving automatically generated code from Codex via …","https://www.academia.edu/download/95266721/2205.10583.pdf","https://scholar.google.com/scholar?q=related:-8UNNv7WhzoJ:scholar.google.com/&scioq=automated+program+repair+proof&hl=en&as_sdt=2007&as_ylo=2022&as_yhi=2024"
10,"U Kulsum, H Zhu, B Xu, M d'Amorim","A case study of llm for automated vulnerability repair: Assessing impact of reasoning and patch validation feedback",2024,"Proceedings of the 1st ACM …","dl.acm.org","https://dl.acm.org/doi/abs/10.1145/3664646.3664770","https://scholar.google.com/scholar?cites=6714467030923340259&as_sdt=2005&sciodt=2007&hl=en",46,"2025-03-14 11:09:45","","10.1145/3664646.3664770","","",,,,,10,10.00,3,4,1,"… for automated program repair. They demonstrate that ChatRepair can bridge the semantic gap between the program under analysis and the LLM. ChatRepair automatically repairs bugs …","https://arxiv.org/pdf/2405.15690","https://scholar.google.com/scholar?q=related:4-lBmjCULl0J:scholar.google.com/&scioq=automated+program+repair+proof&hl=en&as_sdt=2007&as_ylo=2022&as_yhi=2024"
10,"B Lin, S Wang, M Wen, L Chen, X Mao","One size does not fit all: Multi-granularity patch generation for better automated program repair",2024,"Proceedings of the 33rd ACM …","dl.acm.org","https://dl.acm.org/doi/abs/10.1145/3650212.3680381","https://scholar.google.com/scholar?cites=3629260127400715070&as_sdt=2005&sciodt=2007&hl=en",55,"2025-03-14 11:09:45","","10.1145/3650212.3680381","","",,,,,10,10.00,2,5,1,"… Automated program repair aims to automate bug correction and … mainly center on treating program repair either as a … -level repair, while the latter concentrates on token-level repair, as …","https://lqchen.github.io/ISSTA24_repair.pdf","https://scholar.google.com/scholar?q=related:PmM1c9u4XTIJ:scholar.google.com/&scioq=automated+program+repair+proof&hl=en&as_sdt=2007&as_ylo=2022&as_yhi=2024"
10,"E Mugnier, EA Gonzalez, R Jhala, ...","Laurel: generating Dafny assertions using large language models",2024,"arXiv preprint arXiv …","arxiv.org","https://arxiv.org/abs/2405.16792","https://scholar.google.com/scholar?cites=12952686739984299333&as_sdt=2005&sciodt=2007&hl=en",68,"2025-03-14 11:09:45","","","","",,,,,10,10.00,3,4,1,"… believe that our approach can be applied to other semi-automated verification tools [7, 8, 17, … Encouraged by the success of LLMs in program repair [25, 41] and proof synthesis [19, 24, …","https://arxiv.org/pdf/2405.16792","https://scholar.google.com/scholar?q=related:RTWtt_YvwbMJ:scholar.google.com/&scioq=automated+program+repair+proof&hl=en&as_sdt=2007&as_ylo=2022&as_yhi=2024"
10,"C Liu, P Cetin, Y Patodia, B Ray, ...","Automated code editing with search-generate-modify",2024,"Proceedings of the …","dl.acm.org","https://dl.acm.org/doi/abs/10.1145/3639478.3643124","https://scholar.google.com/scholar?cites=13066304926117152028&as_sdt=2005&sciodt=2007&hl=en",92,"2025-03-14 11:09:45","","10.1145/3639478.3643124","","",,,,,10,10.00,2,5,1,"… on two tasks: code editing and automated program repair. … For program repair, we compare SarGaM with recent Deep … , and modify) individually and prove that SarGaM can benefit from …","https://arxiv.org/pdf/2306.06490","https://scholar.google.com/scholar?q=related:HEUmIBrXVLUJ:scholar.google.com/&scioq=automated+program+repair+proof&hl=en&as_sdt=2007&as_ylo=2022&as_yhi=2024"
19,"M Motwani, Y Brun","Better automatic program repair by using bug reports and tests together",2023,"2023 IEEE/ACM 45th International …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/10172693/","https://scholar.google.com/scholar?cites=14836329137754984684&as_sdt=2005&sciodt=2007&hl=en",26,"2025-03-14 11:09:45","","","","",,,,,19,9.50,10,2,2,"… Our work is the first investigation of simultaneously using multiple software artifacts for automated program repair, and our promising findings suggest future research in this directions is …","https://arxiv.org/pdf/2011.08340","https://scholar.google.com/scholar?q=related:7NCpmr465c0J:scholar.google.com/&scioq=automated+program+repair+proof&hl=en&as_sdt=2007&as_ylo=2022&as_yhi=2024"
19,"N Alshahwan, M Harman, ...","Software testing research challenges: An industrial perspective",2023,"2023 IEEE Conference …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/10132192/","https://scholar.google.com/scholar?cites=4650690444039588378&as_sdt=2005&sciodt=2007&hl=en",87,"2025-03-14 11:09:45","","","","",,,,,19,9.50,6,3,2,"… These techniques are likely to prove important for tackling existing software … as automated program repair. However, they also open up new potential deployment routes for repairbased …","","https://scholar.google.com/scholar?q=related:GopIhVGSikAJ:scholar.google.com/&scioq=automated+program+repair+proof&hl=en&as_sdt=2007&as_ylo=2022&as_yhi=2024"
9,"H Eladawy, C Le Goues, Y Brun","Automated program repair, what is it good for? not absolutely nothing!",2024,"Proceedings of the IEEE/ACM 46th …","dl.acm.org","https://dl.acm.org/doi/abs/10.1145/3597503.3639095","https://scholar.google.com/scholar?cites=15311459339117677030&as_sdt=2005&sciodt=2007&hl=en",3,"2025-03-14 11:09:45","","10.1145/3597503.3639095","","",,,,,9,9.00,3,3,1,"… increasing the quality of tests used for repair can, similarly, improve patch quality. While not true in … For example, for synthesis and repair of formal verification proofs, a theorem prover …","https://dl.acm.org/doi/pdf/10.1145/3597503.3639095","https://scholar.google.com/scholar?q=related:5knyNCU7fdQJ:scholar.google.com/&scioq=automated+program+repair+proof&hl=en&as_sdt=2007&as_ylo=2022&as_yhi=2024"
9,"K Laeufer, B Fajardo, A Ahuja, V Iyer, B Nikolić, ...","Rtl-repair: Fast symbolic repair of hardware design code",2024,"… for Programming …","dl.acm.org","https://dl.acm.org/doi/abs/10.1145/3620666.3651346","https://scholar.google.com/scholar?cites=3516233578936673869&as_sdt=2005&sciodt=2007&hl=en",58,"2025-03-14 11:09:45","","10.1145/3620666.3651346","","",,,,,9,9.00,2,6,1,"… automated program repair tools take several hours to run and often provide unsatisfying repairs… We have found this new adaptive windowing technique to improve scalability for …","https://dl.acm.org/doi/pdf/10.1145/3620666.3651346","https://scholar.google.com/scholar?q=related:TSbSa88rzDAJ:scholar.google.com/&scioq=automated+program+repair+proof&hl=en&as_sdt=2007&as_ylo=2022&as_yhi=2024"
9,"X Wang, H Yu, X Meng, H Cao, H Zhang, ...","MTL-TRANSFER: Leveraging multi-task learning and transferred knowledge for improving fault localization and program repair",2024,"ACM Transactions on …","dl.acm.org","https://dl.acm.org/doi/abs/10.1145/3654441","https://scholar.google.com/scholar?cites=14922145023018358204&as_sdt=2005&sciodt=2007&hl=en",81,"2025-03-14 11:09:45","","10.1145/3654441","","",,,,,9,9.00,2,6,1,"… all baselines in FL and APR tasks, proving the efectiveness of our approach. Compared with … statement-level fault localization and automated program repair, multitask learning strategy …","https://nzjohng.github.io/publications/papers/tosem2024_4.pdf","https://scholar.google.com/scholar?q=related:vFXfZ9YbFs8J:scholar.google.com/&scioq=automated+program+repair+proof&hl=en&as_sdt=2007&as_ylo=2022&as_yhi=2024"
8,"Y Song, X Gao, W Li, WN Chin, ...","Provenfix: Temporal property-guided program repair",2024,"Proceedings of the ACM …","dl.acm.org","https://dl.acm.org/doi/abs/10.1145/3643737","https://scholar.google.com/scholar?cites=17828784105697924988&as_sdt=2005&sciodt=2007&hl=en",39,"2025-03-14 11:09:45","","10.1145/3643737","","",,,,,8,8.00,2,5,1,"… automated program repair of temporal property violations. Program analysis-based repair has … the identical inclusion is shown in the proof context; we then prove it valid. Rule [Unfold] is …","https://dl.acm.org/doi/pdf/10.1145/3643737","https://scholar.google.com/scholar?q=related:fFdB5a6QbPcJ:scholar.google.com/&scioq=automated+program+repair+proof&hl=en&as_sdt=2007&as_ylo=2022&as_yhi=2024"
8,"R Ishizue, K Sakamoto, H Washizaki, ...","Improved program repair methods using refactoring with GPT models",2024,"Proceedings of the 55th …","dl.acm.org","https://dl.acm.org/doi/abs/10.1145/3626252.3630875","https://scholar.google.com/scholar?cites=14911721678733972242&as_sdt=2005&sciodt=2007&hl=en",64,"2025-03-14 11:09:45","","10.1145/3626252.3630875","","",,,,,8,8.00,2,4,1,"… : automated feedback, automatic program repair, and integration with large-scale language models (LLMs). Automated … ’s source code for improving program repair using GPT models. If …","https://dl.acm.org/doi/pdf/10.1145/3626252.3630875","https://scholar.google.com/scholar?q=related:EhNuctwT8c4J:scholar.google.com/&scioq=automated+program+repair+proof&hl=en&as_sdt=2007&as_ylo=2022&as_yhi=2024"
8,"ÁF Silva, A Mendes, JF Ferreira","Leveraging large language models to boost Dafny's developers productivity",2024,"Proceedings of the 2024 IEEE/ACM …","dl.acm.org","https://dl.acm.org/doi/abs/10.1145/3644033.3644374","https://scholar.google.com/scholar?cites=12700501454134773961&as_sdt=2005&sciodt=2007&hl=en",67,"2025-03-14 11:09:45","","10.1145/3644033.3644374","","",,,,,8,8.00,3,3,1,"… We are not aware of any work on Dafny’s specification or program repair using … for automated repair and adapt/improve them to be used for Dafny. We also intend to tackle proof repair …","https://dl.acm.org/doi/pdf/10.1145/3644033.3644374","https://scholar.google.com/scholar?q=related:yQgJS8g-QbAJ:scholar.google.com/&scioq=automated+program+repair+proof&hl=en&as_sdt=2007&as_ylo=2022&as_yhi=2024"
23,"MP Gissurarson, L Applis, A Panichella, ...","Propr: property-based automatic program repair",2022,"Proceedings of the 44th …","dl.acm.org","https://dl.acm.org/doi/abs/10.1145/3510003.3510620","https://scholar.google.com/scholar?cites=4145579498129799434&as_sdt=2005&sciodt=2007&hl=en",5,"2025-03-14 11:09:45","","10.1145/3510003.3510620","","",,,,,23,7.67,6,4,3,"… methods are used to prove the correctness of programs. Due to its … PropR is an automated program repair tool written in Haskell… To automate the repair process, PropR implements the …","https://dl.acm.org/doi/pdf/10.1145/3510003.3510620","https://scholar.google.com/scholar?q=related:Cjkr3pYOiDkJ:scholar.google.com/&scioq=automated+program+repair+proof&hl=en&as_sdt=2007&as_ylo=2022&as_yhi=2024"
22,"W Zhong, C Li, J Ge, B Luo","Neural program repair: Systems, challenges and solutions",2022,"Proceedings of the 13th Asia-Pacific …","dl.acm.org","https://dl.acm.org/doi/abs/10.1145/3545258.3545268","https://scholar.google.com/scholar?cites=13859204116809386886&as_sdt=2005&sciodt=2007&hl=en",33,"2025-03-14 11:09:45","","10.1145/3545258.3545268","","",,,,,22,7.33,6,4,3,"… Automated Program Repair (APR) aims to automatically fix … been an increase of Neural Program Repair (NPR) studies that … Improving language understanding by generative pre-training…","https://arxiv.org/pdf/2202.10868","https://scholar.google.com/scholar?q=related:hgsODLfIVcAJ:scholar.google.com/&scioq=automated+program+repair+proof&hl=en&as_sdt=2007&as_ylo=2022&as_yhi=2024"
7,"M Lu, B Delaware, T Zhang","Proof automation with large language models",2024,"… International Conference on Automated …","dl.acm.org","https://dl.acm.org/doi/abs/10.1145/3691620.3695521","https://scholar.google.com/scholar?cites=11666856840087938288&as_sdt=2005&sciodt=2007&hl=en",9,"2025-03-14 11:09:45","","10.1145/3691620.3695521","","",,,,,7,7.00,2,3,1,"… proof automation approach that combines LLMs and symbolic methods in a generate-thenrepair … Although other proof automation techniques could be employed, we found hammers to …","https://dl.acm.org/doi/pdf/10.1145/3691620.3695521","https://scholar.google.com/scholar?q=related:8CTHfnsA6aEJ:scholar.google.com/&scioq=automated+program+repair+proof&hl=en&as_sdt=2007&as_ylo=2022&as_yhi=2024"
21,"E Winter, V Nowack, D Bowes, ...","Let's Talk With Developers, Not About Developers: A Review of Automatic Program Repair Research",2022,"IEEE Transactions …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/9714799/","https://scholar.google.com/scholar?cites=4952281234965644230&as_sdt=2005&sciodt=2007&hl=en",17,"2025-03-14 11:09:45","","","","",,,,,21,7.00,5,4,3,"… Full automation may be a key technical goal in terms of proving the efficacy of an APR system, but there is a need to explore whether developers in fact want to be out of the loop in this …","https://ieeexplore.ieee.org/iel7/32/4359463/09714799.pdf","https://scholar.google.com/scholar?q=related:xsP1fYsJukQJ:scholar.google.com/&scioq=automated+program+repair+proof&hl=en&as_sdt=2007&as_ylo=2022&as_yhi=2024"
7,"MR Lyu, B Ray, A Roychoudhury, SH Tan, ...","Automatic programming: Large language models and beyond",2024,"ACM Transactions on …","dl.acm.org","https://dl.acm.org/doi/abs/10.1145/3708519","https://scholar.google.com/scholar?cites=3639599055550459666&as_sdt=2005&sciodt=2007&hl=en",19,"2025-03-14 11:09:45","","10.1145/3708519","","",,,,,7,7.00,1,5,1,"… the possibility of automated program repair of automatically … generate both programs and proofs (about the program satisfying … Automated generation of proofs from LLMs has also been …","https://dl.acm.org/doi/pdf/10.1145/3708519","https://scholar.google.com/scholar?q=related:Eq_uvg50gjIJ:scholar.google.com/&scioq=automated+program+repair+proof&hl=en&as_sdt=2007&as_ylo=2022&as_yhi=2024"
