Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
3,"S Kommrusch","Machine learning for computer aided programming: From stochastic program repair to verifiable program equivalence",2022,"","search.proquest.com","https://search.proquest.com/openview/9f557e7b992adb1240196425a62f61bb/1?pq-origsite=gscholar&cbl=18750&diss=y","https://scholar.google.com/scholar?cites=12153691605120320696&as_sdt=2005&sciodt=2007&hl=en",7,"2025-03-14 11:11:13","","","","",,,,,3,1.00,3,1,3,"… learning concepts. We then present a system that directly produces source code for automatic program repair … prove a first program equal to a second program). Hence, we would like to …","https://api.mountainscholar.org/server/api/core/bitstreams/d856fb35-54d6-4aa9-adc4-a7a70695ffa5/content","https://scholar.google.com/scholar?q=related:uATYMB-WqqgJ:scholar.google.com/&scioq=automated+program+repair+proof+learning&hl=en&as_sdt=2007"
1,"M Mirchev, A Costea, AK Singh, ...","Assured automatic programming via large language models",2024,"arXiv preprint arXiv …","arxiv.org","https://arxiv.org/abs/2410.18494","https://scholar.google.com/scholar?cites=5735918003183778369&as_sdt=2005&sciodt=2007&hl=en",26,"2025-03-14 11:11:13","","","","",,,,,1,1.00,0,4,1,"… program-proof co-evolution to support our idea of developer intent discovery and conformance repair. … Dafny code, a language less represented in training sets, we use three different …","https://arxiv.org/pdf/2410.18494","https://scholar.google.com/scholar?q=related:QXqJoAgTmk8J:scholar.google.com/&scioq=automated+program+repair+proof+learning&hl=en&as_sdt=2007"
1,"L Vidziunas, D Binkley, ...","The Impact of Program Reduction on Automated Program Repair",2024,"… on Software Maintenance …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/10795018/","https://scholar.google.com/scholar?cites=13016735499642352603&as_sdt=2005&sciodt=2007&hl=en",39,"2025-03-14 11:11:13","","","","",,,,,1,1.00,0,3,1,"… that the repair is valid for the original program. The program reduction technique we study in … JUnit tests as a slicing criterion may prove worthy of future study. It would be interesting to …","https://arxiv.org/pdf/2408.01134","https://scholar.google.com/scholar?q=related:2zNmp_i7pLQJ:scholar.google.com/&scioq=automated+program+repair+proof+learning&hl=en&as_sdt=2007"
1,"B Meyer, V Kananchuk, L Huang","BUGFIX: towards a common language and framework for the Automatic Program Repair community",2024,"… on Automated Program Repair","dl.acm.org","https://dl.acm.org/doi/abs/10.1145/3643788.3648007","https://scholar.google.com/scholar?cites=16953700139822418572&as_sdt=2005&sciodt=2007&hl=en",50,"2025-03-14 11:11:13","","10.1145/3643788.3648007","","",,,,,1,1.00,0,3,1,"… Techniques of software verification, from tests to static analysis and proofs, help identify … intuition or opinions but from the empirical, objective study of credible bug and fix repositories. …","https://arxiv.org/pdf/2402.14471","https://scholar.google.com/scholar?q=related:jAqb3nOkR-sJ:scholar.google.com/&scioq=automated+program+repair+proof+learning&hl=en&as_sdt=2007"
1,"JA del-Hoyo-Gabaldon, A Moreno-Cediel, ...","Automatic dataset generation for automated program repair of bugs and vulnerabilities through SonarQube",2024,"SoftwareX","Elsevier","https://www.sciencedirect.com/science/article/pii/S2352711024000359","https://scholar.google.com/scholar?cites=6770244953990230995&as_sdt=2005&sciodt=2007&hl=en",61,"2025-03-14 11:11:13","HTML","","","",,,,,1,1.00,0,3,1,"… study regarding Software Engineering. The maintenance of software is one of the stages of the software … Proof of it is the fact that one of the four main topics of study for data scientists at …","https://www.sciencedirect.com/science/article/pii/S2352711024000359","https://scholar.google.com/scholar?q=related:0_P3VOq99F0J:scholar.google.com/&scioq=automated+program+repair+proof+learning&hl=en&as_sdt=2007"
2,"P Tolmach","Securing smart contracts with formal verification and automated program repair",2023,"","dr.ntu.edu.sg","https://dr.ntu.edu.sg/handle/10356/169305","https://scholar.google.com/scholar?cites=18212571856327792517&as_sdt=2005&sciodt=2007&hl=en",64,"2025-03-14 11:11:13","","","","",,,,,2,1.00,2,1,2,"… In this work, we perform the case study of two interacting DeFi protocols, acknowledging the leading … Our experiments in repairing 9 real-world and benchmark smart contracts prove that …","https://dr.ntu.edu.sg/bitstream/10356/169305/2/Securing%20Smart%20Contracts%20with%20Formal%20Verification%20and%20Automated%20Program%20Repair.pdf","https://scholar.google.com/scholar?q=related:hdex5psNwPwJ:scholar.google.com/&scioq=automated+program+repair+proof+learning&hl=en&as_sdt=2007"
1,"K Thompson, N Saavedra, P Carrott, K Fisher, ...","Rango: Adaptive Retrieval-Augmented Proving for Automated Software Verification",2024,"arXiv preprint arXiv …","arxiv.org","https://arxiv.org/abs/2412.14063","https://scholar.google.com/scholar?cites=15102369191311927489&as_sdt=2005&sciodt=2007&hl=en",80,"2025-03-14 11:11:13","","","","",,,,,1,1.00,0,5,1,"… explored automating proof synthesis using machine learning … We present Rango, a fully automated proof synthesis tool for … constantly making repetitive repairs across their proofs due to …","https://arxiv.org/pdf/2412.14063","https://scholar.google.com/scholar?q=related:wWjzgsNkltEJ:scholar.google.com/&scioq=automated+program+repair+proof+learning&hl=en&as_sdt=2007"
1,"Z Zheng, R Wang, Z Tao, H Li, C Chen, T Li, ...","Automated patch correctness predicting to fix software defect",2024,"Expert Systems with …","Elsevier","https://www.sciencedirect.com/science/article/pii/S0957417424017445","https://scholar.google.com/scholar?cites=8291393058599169276&as_sdt=2005&sciodt=2007&hl=en",81,"2025-03-14 11:11:13","","","","",,,,,1,1.00,0,7,1,"… These algorithms can learn program patterns and rules from the history of program versions and error repair history, and automatically generate program repair patches based on these …","","https://scholar.google.com/scholar?q=related:_Gzxng7yEHMJ:scholar.google.com/&scioq=automated+program+repair+proof+learning&hl=en&as_sdt=2007"
7,"D Alrajeh, R Craven","Automated error-detection and repair for compositional software specifications",2014,"International Conference on Software Engineering …","Springer","https://link.springer.com/chapter/10.1007/978-3-319-10431-7_9","https://scholar.google.com/scholar?cites=1716189659329150534&as_sdt=2005&sciodt=2007&hl=en",48,"2025-03-14 11:11:13","","10.1007/978-3-319-10431-7_9","","",,,,,7,0.64,4,2,11,"… programming equivalent of C+, to which we apply inductive logic programming for learning repairs … such as model checking and theorem proving to check that the specified system …","https://www.academia.edu/download/39322717/sefm14.pdf","https://scholar.google.com/scholar?q=related:Rj6DA2ch0RcJ:scholar.google.com/&scioq=automated+program+repair+proof+learning&hl=en&as_sdt=2007"
1,"P Zhao","An empirical study on using codex for automated program repair",2023,"","diva-portal.org","https://www.diva-portal.org/smash/record.jsf?pid=diva2:1799660","https://scholar.google.com/scholar?cites=12692371314274721047&as_sdt=2005&sciodt=2007&hl=en",42,"2025-03-14 11:11:13","","","","",,,,,1,0.50,1,1,2,"This thesis explores the potential of Codex, a pre-trained Large Language Model (LLM), for Automated Program Repair (APR) by assessing its performance on the Defects4J …","https://www.diva-portal.org/smash/get/diva2:1799660/FULLTEXT01.pdf","https://scholar.google.com/scholar?q=related:F92zmHZcJLAJ:scholar.google.com/&scioq=automated+program+repair+proof+learning&hl=en&as_sdt=2007"
1,"AA de Abreu Filho","Automatic Specification Repair in Contract Programming",2023,"","repositorio-aberto.up.pt","https://repositorio-aberto.up.pt/bitstream/10216/152792/2/641543.pdf","https://scholar.google.com/scholar?cites=18003800768280715714&as_sdt=2005&sciodt=2007&hl=en",60,"2025-03-14 11:11:13","PDF","","","",,,,,1,0.50,1,1,2,"… working on Dafny and make software verification easier to learn and implement, which … different problems may exist, eg proof automation is very similar in some aspects to program …","https://repositorio-aberto.up.pt/bitstream/10216/152792/2/641543.pdf","https://scholar.google.com/scholar?q=related:wuFGGGlZ2vkJ:scholar.google.com/&scioq=automated+program+repair+proof+learning&hl=en&as_sdt=2007"
1,"J Jiang, Z Zhao, Z Ye, B Wang, H Zhang, ...","Enhancing redundancy-based automated program repair by fine-grained pattern mining",2023,"arXiv preprint arXiv …","arxiv.org","https://arxiv.org/abs/2312.15955","https://scholar.google.com/scholar?cites=1581348237770649400&as_sdt=2005&sciodt=2007&hl=en",63,"2025-03-14 11:11:13","","","","",,,,,1,0.50,0,6,2,"… -based techniques [18, 65, 68] (Our evaluation results in Section 5 further prove it). Additionally, … In particular, this is not a special case but holds over different programs in our study. The …","https://arxiv.org/pdf/2312.15955","https://scholar.google.com/scholar?q=related:OG-CCtgT8hUJ:scholar.google.com/&scioq=automated+program+repair+proof+learning&hl=en&as_sdt=2007"
2,"Y Wu","Anti-patterns for Java automated program repair tools",2020,"… /ACM International Conference on Automated Software …","dl.acm.org","https://dl.acm.org/doi/abs/10.1145/3324884.3418919","https://scholar.google.com/scholar?cites=14833015343880888134&as_sdt=2005&sciodt=2007&hl=en",85,"2025-03-14 11:11:13","","10.1145/3324884.3418919","","",,,,,2,0.40,2,1,5,"… repair for C programs. In this work, we study if the same problems exist in Java programs. … on the plausible patches generated by Java automated repair tools. We integrated anti-…","https://wuyff.github.io/documents/ase-src-70-new.pdf","https://scholar.google.com/scholar?q=related:Rl_w19102c0J:scholar.google.com/&scioq=automated+program+repair+proof+learning&hl=en&as_sdt=2007"
1,"H Frenkel, O Grumberg, BC Rothenberg, ...","Automated program repair using formal verification techniques",2022,"Principles of Systems …","Springer","https://link.springer.com/chapter/10.1007/978-3-031-22337-2_25","https://scholar.google.com/scholar?cites=18278559955252322066&as_sdt=2005&sciodt=2007&hl=en",16,"2025-03-14 11:11:13","","10.1007/978-3-031-22337-2_25","","",,,,,1,0.33,0,4,3,"… Our framework is inspired by [44], which presented a learning-based method for finding an … The classical Assume-Guarantee (AG) proof rule [46] assures that if we find an assumption A (…","https://publications.cispa.saarland/4027/1/FGRS22.pdf","https://scholar.google.com/scholar?q=related:Ep9-cm99qv0J:scholar.google.com/&scioq=automated+program+repair+proof+learning&hl=en&as_sdt=2007"
1,"KHT Dam, F Duchene, T Given-Wilson, M Cordy, ...","Automated repair of security errors in C programs via statistical model checking: a proof of concept",2022,"… Applications of Formal …","Springer","https://link.springer.com/chapter/10.1007/978-3-031-19849-6_17","https://scholar.google.com/scholar?cites=14548800137093010912&as_sdt=2005&sciodt=2007&hl=en",18,"2025-03-14 11:11:13","","10.1007/978-3-031-19849-6_17","","",,,,,1,0.33,0,5,3,"… of program errors and traces exhibiting these errors; and automated program repair building … This naturally links together the discovery, learning, repairing, and validation of repair in a …","","https://scholar.google.com/scholar?q=related:4FWVT6S458kJ:scholar.google.com/&scioq=automated+program+repair+proof+learning&hl=en&as_sdt=2007"
1,"M Endres, P Reiter, S Forrest, W Weimer","What can program repair learn from code review?",2022,"… Automated Program Repair","dl.acm.org","https://dl.acm.org/doi/abs/10.1145/3524459.3527352","https://scholar.google.com/scholar?cites=4036778211246035949&as_sdt=2005&sciodt=2007&hl=en",46,"2025-03-14 11:11:13","","10.1145/3524459.3527352","","",,,,,1,0.33,0,4,3,"… Various methods from held out test-cases to specification-based proofs have been proposed to improve the automated evaluation of patch correctness and quality. Ultimately, however, …","https://dl.acm.org/doi/pdf/10.1145/3524459.3527352","https://scholar.google.com/scholar?q=related:7VNbNmWEBTgJ:scholar.google.com/&scioq=automated+program+repair+proof+learning&hl=en&as_sdt=2007"
1,"M Motwani","High-Quality Automatic Program Repair",2022,"","mmotwani.com","https://mmotwani.com/publications/High-Quality-APR-Dissertation.pdf","https://scholar.google.com/scholar?cites=11030661380281814317&as_sdt=2005&sciodt=2007&hl=en",69,"2025-03-14 11:11:13","PDF","","","",,,,,1,0.33,1,1,3,"… Figure 2.1: Automated repair techniques we use to study repair applicability. The techniques … Overall, there is evidence that automated repair is as likely to repair more important defects, …","https://mmotwani.com/publications/High-Quality-APR-Dissertation.pdf","https://scholar.google.com/scholar?q=related:LU1RGRXIFJkJ:scholar.google.com/&scioq=automated+program+repair+proof+learning&hl=en&as_sdt=2007"
1,"T Mamatha, B RAMA SUBBA REDDY, ...","OAPR-HOML'1: Optimal automated program repair approach based on hybrid improved grasshopper optimization and opposition learning based artificial neural …",2022,"International Journal of …","koreascience.kr","https://koreascience.kr/article/JAKO202213341729825.page","https://scholar.google.com/scholar?cites=816152712772281488&as_sdt=2005&sciodt=2007&hl=en",70,"2025-03-14 11:11:13","","","","",,,,,1,0.33,0,3,3,"… This study proposes a new model based on the speed of detection of a test coverage error … They provided rigorous evidence to ensure security and accuracy, and our protocols perform …","https://koreascience.kr/article/JAKO202213341729825.pdf","https://scholar.google.com/scholar?q=related:kGRDb5GOUwsJ:scholar.google.com/&scioq=automated+program+repair+proof+learning&hl=en&as_sdt=2007"
1,"M Wei","Abstraction mechanism on neural machine translation models for automated program repair",2019,"","uwspace.uwaterloo.ca","https://uwspace.uwaterloo.ca/bitstream/handle/10012/15119/Wei_Moshi.pdf?sequence=1","https://scholar.google.com/scholar?cites=8941818983498924422&as_sdt=2005&sciodt=2007&hl=en",34,"2025-03-14 11:11:13","PDF","","","",,,,,1,0.17,1,1,6,"… We evaluate our approach by training the machine learning model with 470,085 bug-fix pairs … To prove this, we filter out the outputs that contain tokens outside the context search space …","https://uwspace.uwaterloo.ca/bitstream/handle/10012/15119/Wei_Moshi.pdf?sequence=1","https://scholar.google.com/scholar?q=related:hkFMXf24F3wJ:scholar.google.com/&scioq=automated+program+repair+proof+learning&hl=en&as_sdt=2007"
0,"C Le Goues, TV Nguyen, S Forrest, ...","The Evolution of Automated Software Repair",2025,"… on Software …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/10854421/","",19,"2025-03-14 11:11:13","","","","",,,,,0,0.00,0,4,1,"… an existence proof. In particular, it demonstrated that useful patches for non-trivial bugs and … Weimer, “A systematic study of automated program repair: Fixing 55 out of 105 bugs for $8 …","","https://scholar.google.com/scholar?q=related:okEJfeNgylgJ:scholar.google.com/&scioq=automated+program+repair+proof+learning&hl=en&as_sdt=2007"
0,"T Zhu, T Xu, K Liu, J Zhou, X Hu, X Xia, ...","An Empirical Study of Automatic Program Repair Techniques for Injection Vulnerabilities",2024,"… Maintenance and …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/10795100/","",38,"2025-03-14 11:11:13","","","","",,,,,0,0.00,0,7,1,"… perform in repairing injection vulnerabilities. Therefore, in this paper, we conduct an empirical study. We first construct a benchmark for injection vulnerability repair and evaluate several …","https://ink.library.smu.edu.sg/cgi/viewcontent.cgi?article=10888&context=sis_research","https://scholar.google.com/scholar?q=related:bSkDy7Eh1NAJ:scholar.google.com/&scioq=automated+program+repair+proof+learning&hl=en&as_sdt=2007"
0,"X Zhang, C Shen, S Ma, J Zhai, ...","An Automated Monitoring and Repairing System for DNN Training",2024,"IEEE Transactions on …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/10654494/","",40,"2025-03-14 11:11:13","","","","",,,,,0,0.00,0,5,1,"… suffering from the abnormal data problem, AUTOTRAINER will normalize the input data and remove outliers to improve the training performance. In addition, the interface of …","","https://scholar.google.com/scholar?q=related:RaaBp7CSWc8J:scholar.google.com/&scioq=automated+program+repair+proof+learning&hl=en&as_sdt=2007"
0,"Y Li, G Wang, Y Tian","SoK: Towards Effective Automated Vulnerability Repair",2025,"arXiv preprint arXiv:2501.18820","arxiv.org","https://arxiv.org/abs/2501.18820","",44,"2025-03-14 11:11:13","","","","",,,,,0,0.00,0,3,1,"… study mainly differs from existing surveys in the following three aspects: (i) Existing works [17–23] focus on program repair … the repair process, while AVR operates with a single Proof-of-…","https://arxiv.org/pdf/2501.18820","https://scholar.google.com/scholar?q=related:SptIxPmuqCUJ:scholar.google.com/&scioq=automated+program+repair+proof+learning&hl=en&as_sdt=2007"
0,"J Scebold, E Bond, E Gray, ...","Automated Theory Substitution Toward Proof-Driven Software Development",2024,"… Conference on Software …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/10685627/","",45,"2025-03-14 11:11:13","","","","",,,,,0,0.00,0,4,1,"… of proof repair automation using machine learning. Specifically, we apply a language model and other machine learning techniques to a dataset of hand-written proofs and repairs for …","","https://scholar.google.com/scholar?q=related:K7-3GSwQHm8J:scholar.google.com/&scioq=automated+program+repair+proof+learning&hl=en&as_sdt=2007"
0,"J Yang","Improving the Correctness of Automated Program Repair",2018,"","uwspace.uwaterloo.ca","https://uwspace.uwaterloo.ca/handle/10012/13224","",62,"2025-03-14 11:11:13","","","","",,,,,0,0.00,0,1,7,"… First, I prove that for a particular type of bugs and their corresponding overfitted patches, R1 … If we can learn and apply such recurring fix patterns automatically, we can save developers …","https://uwspace.uwaterloo.ca/bitstream/handle/10012/13224/Yang_Jinqiu.pdf?sequence=3&isAllowed=y","https://scholar.google.com/scholar?q=related:r70kVz9h2wMJ:scholar.google.com/&scioq=automated+program+repair+proof+learning&hl=en&as_sdt=2007"
